author_name,commit_count
Kenneth Reitz,3148
Cory Benfield,610
Ian Cordasco,313
Nate Prewitt,295
Ian Stapleton Cordasco,103
Shivaram Lingamneni,45
Braulio Valdivielso Martínez,43
David Pursehouse,31
dependabot[bot],31
Kevin Burke,28
daftshady,24
Jérémy Bethmont,23
Chase Sterling,21
Idan Gazit,20
Thomas Grainger,18
Mike Waldner,18
Jon Dufresne,18
Johannes,17
schlamar,16
Kamil Madac,16
Seth Michael Larson,13
Martijn Pieters,12
Jason Grout,12
David Fischer,11
Matt Giuca,11
Dmitry Klimenko,11
dbairaktaris1,10
Luca De Vitis,10
Daniel Schauenberg,10
Thomas Weißschuh,10
ContinuousFunction,10
Johannes Gorset,10
Riyad Parvez,9
Hugo,9
Chris Adams,9
Alex Chan,9
Joseph McCullough,8
Donald Stufft,8
aless10,8
Brian Bamsch,8
Josh Imhoff,7
Ori Livneh,7
Alessio Izzo,7
Alexander 'Leo' Bergolth,7
anupam-arista,7
digitalxero,7
barberj,7
Zbigniew Siciarz,7
Casey Davidson,7
Elliot Ford,7
Dmitry Dygalo,7
Sayz Lim,7
Roman Haritonov,7
Max Countryman,6
Michael Komitee,6
Michael Becker,6
Jason Emerick,6
Ben,6
Den Shabalin,6
Robert Estelle,6
Dull Bananas,6
Piotr Dobrogost,6
Michael Holler,6
mattkohl,6
mgasvoda,6
ayanamist,6
Steven M. Vascellaro,6
Scott Sadler,6
Chris Dary,6
sprt,6
Bob Carroll,6
Alex Gaynor,6
☿ Kenneth Reitz,6
vienno,5
Alvaro Gutierrez Perez,5
Tim Konick,5
Ronny Pfannschmidt,5
David Poole,5
Denis Belavin,5
Richard Boulton,5
Danilo Bargen,5
exvito,5
Ben Bass,5
Ryan Munro,5
Marcos Dione,5
Andrey Petrov,5
Mike Fiedler,5
Michael Newman,5
Ib Lundgren,5
Kwpolska,5
Marcus McCurdy,5
Johnny Goodnow,5
Eric L Frederich,5
colin,4
Smiley Barry,4
Sylvain MARIE,4
Rolando Espinoza La fuente,4
Sorin Sbarnea,4
Rasmus Scholer (TimelineX),4
Randy Merrill,4
Gulácsi Tamás,4
Antti Kaihola,4
homm,4
Matt Sweeney,4
Michael Van Veen,4
Daniel Miller,4
Martin Geisler,4
mlcrazy,4
Lukas Graf,4
Locker537,4
Andrew Jesaitis,4
M.Yasoob Ullah Khalid ☺,4
Markus Unterwaditzer,4
Jesse Shapiro,4
Priit Laes,4
Piotr Jurkiewicz,4
tzickel,4
yegle,4
Carol Willing,4
Brett Higgins,4
Kevin Kirsche,4
David Poggi,4
Stephen Huenneke,4
Shrikant Sharat Kandula,4
Ravi Prakash Putchala,3
Skipper Seabold,3
Shrikant Sharat,3
Flavio Curella,3
Stephen Zhuang,3
Bastien Gérard,3
Frost Ming,3
Gert Van Gool,3
Radu Voicilas,3
Quentin Pradet,3
Pascal Hartig,3
Hussain,3
Hugo Osvaldo Barrera,3
Peter Montagner,3
Jeremy Selier,3
Jakub Roztocil,3
Miikka Koskinen,3
Ata Tuzuner,3
Arup Malakar,3
Ovidiu Negrut,3
mayank,3
Nicola Soranzo,3
sh1buy,3
ms4py,3
Kumar Varadarajulu,3
Laurent Bachelier,3
Konstantin Podshumok,3
Aaron Iles,3
Josh Schneier,3
Jonty Wareing,3
John Peacock,3
Matt McClure,3
robmadole,3
Matthieu Moy,3
László Vaskó,3
latyas(懒),3
Jason R. Coombs,3
Jon Parise,3
Weston Platter,3
Bryan Helmig,3
Vikram Oberoi,3
Tom Hogans,3
ben,3
Brian Samek,3
Armin Ronacher,3
miguel,3
Eduardo Rodrigues,3
Rohan Jain,3
Roberto Migli,3
Rhys Elsmore,3
Remi Rampin,3
Benjamin Peterson,3
Susan Tan,3
Kayla Ngan,3
Can Ibanoglu,3
Alan Yee,3
zurbrugc,3
Viktor Haag,3
Yossi Gottlieb,3
Rick Mak,3
Avi Das,3
Christian Clauss,3
Richard van den Berg,3
Brendan Maguire,2
Brandon Sandrowicz,2
Bruce Adams,2
benjaminran,2
Chris Lee,2
ap-Codkelden@github.com,2
wasw100,2
Felix Yan,2
Randy Morris,2
David Kemp (Work),2
Dmitry Medvinsky,2
Douglas Morrison,2
Ed Morley,2
Devin Sevilla,2
Denis Ryzhkov,2
Roman Levin,2
Robin,2
Ben Bodenmiller,2
Ryan Kelly,2
cjstapleton,2
chadnickbok@gmail.com,2
Colin Dickson,2
Colin Dunklau,2
Steve Berdy,2
Christopher Davis,2
Steve Pulec,2
Steve Klabnik,2
Corey Farwell,2
Colin Watson,2
Dave Shawley,2
David Black,2
Seth M. Larson,2
Daniel Hahler,2
Daniele Tricoli,2
deronnax,2
Berker Peksag,2
Ben Li-Sauerwine,2
Белавин Денис,2
Борис Верховский,2
Boris Verkhovskiy,2
shoma,2
sursh,2
syedsuhail,2
ueg1990,2
tokuda109,2
Aidan Feldman,2
unknown,2
Alexander Nelzin,2
Alexandre Sieira,2
Akira Kitada,2
Герасименко Евгений,2
Łukasz Langa,2
Bruno Alla,2
Yang Zhang,2
Carson Lam,2
Victoria Mo,2
Ville Skyttä,2
Wilfred Hughes,2
Vinod Chandru,2
Bruce Merry,2
Buğra İşgüzar,2
Bryce Boe,2
Tyler Kennedy,2
bmcustodio,2
Val Tenyotkin,2
Hosam Aly,2
Honza Javorek,2
Hans Lellelid,2
Ralph Bean,2
Erik Wickstrom,2
Eric Hansen,2
JensDiemer,2
Michael Hunsinger,2
Michał Górny,2
flysee,2
Ned Batchelder,2
Nick Coghlan,2
Mike Gilbert,2
Miro Hrončok,2
NikosVlagoidis,2
Ofek Lev,2
Nick Watts,2
Anton Fedchin,2
lmvlmv,2
kracekumar,2
jonathan vanasco,2
jbergstroem,2
Pierre Chapuis,2
Pradyun Gedam,2
Espartaco Palma,2
Ernest W. Durbin III,2
Eric Scrivner,2
Phil Freo,2
Peter Marsh,2
Philippe Ndiaye,2
Peter Manser,2
Pascal Van Acker,2
Ian Danforth,2
Om Prakash,2
Hugo van Kemenade,2
Jian Li,2
Joe Alcorn,2
Jayson Vantuyl,2
John Samuels,2
Jonathan Halcrow,2
Jonas Laursen,2
Maina Nick,2
Marty Alchin,2
Martin Jul,2
Marcin Wielgoszewski,2
Jeff Knupp,2
Mher Movsisyan,2
Michael,2
Jakub Wilk,2
James Clarke,2
Matt Robenolt,2
Matt Spitz,2
sblondon,2
Lucian Ursu,2
mikecool1000,2
moliware,2
Andrew Murray,2
Andre Graf,2
s7v7nislands,2
s-pace,2
papaeye,2
Anthony Shaw,2
Kristian Glass,2
Kunal Mehta,2
Leila Muhtasib,2
Kyle Altendorf,2
Konstantinos Koukopoulos,2
Juan Riaza,2
Keyan Pishdadian,2
shmuelamar,2
verm666,1
Alex Khomchenko,1
Alex K,1
13steinj,1
requiredfield,1
reeko234,1
rakesh,1
qingyunha,1
pulpe,1
pombredanne,1
petar-iv,1
oczkers,1
np-csu,1
Ann Paul,1
Andrii Soldatenko,1
Andrii Kostenko,1
Andrey Portnoy,1
Juarez Bochi,1
Joy Zheng,1
Josselin Jacquard,1
Josh Brown,1
Joren Vrancken,1
Kevin Yap,1
Kelley Robinson,1
Keiji Matsuzaki,1
Kay Zhu,1
Kartik Chugh,1
Kamil Szot,1
Kamil Kisiel,1
Kale Franz,1
Kaartic Sivaraam,1
Alejandro Giacometti,1
Alberto Paro,1
Lukasz Balcerzak,1
Lukas Vacek,1
Luka Zakrajšek,1
Lucy Linder,1
Lucian Branescu Mihaila,1
Lucas Duailibe,1
Levi,1
Leon Verrall,1
Lasse Vang Gravesen,1
Kubilay Kocak,1
Justin Mayhew,1
Justin Fenn,1
Julien Prigent,1
Julien Bouquillon,1
JuhaS,1
Jud,1
Jonathan,1
Jonatan Heyman,1
Jonas Schell,1
Jonas Obrist,1
Jonas Fonseca,1
Johnny.H,1
John Vandenberg,1
John Szakmeister,1
Maik Himstedt,1
Maik,1
Mahmoud Hossam,1
Mads Jensen,1
Lyndsy Simon,1
Lutz Horn,1
Lumír 'Frenzy' Balhar,1
Lumir Balhar,1
Massimiliano Torromeo,1
Marwan,1
Martin Durant,1
Martin,1
Markus Wiik,1
Mark Szymanski,1
Mark Story,1
Mark Shannon,1
Mark Bell,1
Marijn Stapert,1
Marcin Płonka,1
Marc Schlaich,1
Marc Abramowitz,1
Mantas Vidutis,1
Jonathan Elliott Blum,1
Jonathan Drosdeck,1
John R. Lenton,1
John L. Villalovos,1
John Kooker,1
John Dingee,1
Joe Smith,1
Jochen Kupperschmidt,1
JiuLi Gao,1
Jim Browne,1
Jiayuan Zhang,1
Matt Jordan,1
Matt Havard,1
Matt Dainty,1
Mathieu Pichette,1
Mateus Dubiela Oliveira,1
Matej Stuchlik,1
Mastahyeti,1
Jeremy Cline,1
Jeff Mancuso,1
Jan Kundrát,1
Jamu Kakar,1
Jamshid Afshar,1
James Rowe,1
Jakub Wieczorek,1
Maximilian Hils,1
Matthias Rahlf,1
Matthew Schinckel,1
Matthew Peveler,1
Matthew Medal,1
Matthew Feickert,1
Matthew Carruth,1
Matthew Armand,1
Matt Silverlock,1
Jacek Kołodziej,1
Jaap Roes,1
Iuri de Silvio,1
Israel Tsadok,1
Isa Hassen,1
Ionel Cristian Mărieș,1
Ilkka Tuohela,1
Ian Ross and Ian Cordasco,1
Ian Gao,1
Mickaël Schoentgen,1
Michiel W. Beijen,1
Michael Schurter,1
Michael R. Bernstein,1
Michael Kelly,1
Michael Edwards,1
Michael DeLay,1
Nicholas Avenell,1
Nehal J Wani,1
Natan L,1
Naor Livne,1
Moin,1
Mohamed Elawadi,1
Mislav Cimperšak,1
Mingyuan Xia,1
MinRK,1
Min ho Kim,1
Miloslav Pojman,1
Mike Lissner,1
Mike Helmick,1
Jake Treacher,1
Jaikish Pai,1
Jacob Mansfield,1
INADA Naoki,1
Hitster GTD,1
Harry Waye,1
Harrison Jackson,1
Hans96,1
Hank Gay,1
Hackbright Student,1
Olivier Gayot,1
Olivia Crain,1
Nikolaos Vlagoidis,1
Nik Nyby,1
Nihaal,1
Nicolas Delvaux,1
Nick Timkovich,1
Nick Krichevsky,1
Nick Hatch,1
Pepijn de Vos,1
Pengfei Xue,1
Paweł Romanowski,1
Pawel Miech,1
Pavlo Kapyshin,1
Pavel Dmitriev,1
Paul van der Linden,1
Paul Nasrat,1
Paul McMillan,1
Paul Matthews,1
Paul,1
Patrick,1
Pat Nakajima,1
Pascal Borreli,1
Ondrej Slinták,1
Olle Lundberg,1
Greg McLeod,1
Greg Dubicki,1
Grant Birkinbine,1
Graham Dumpleton,1
Gavrie Philipson,1
Gary Wu,1
Gareth Lloyd,1
Gabriel,1
Fredrik Möllerstrand,1
Frankie Robertson,1
Frank Kumro,1
Philipp Konrad,1
Philip Lorenz,1
Peter Schutt,1
Peter Inglesby,1
Peter David McCormick,1
Ferhat,1
Feng Liu,1
Everett Toews,1
Eric Larson,1
Eric Brown,1
Rakib Hasan,1
Rajiv Mayani,1
Radomir Stevanovic,1
Quaylyn Rimer,1
Qingping Hou,1
Piotr Szlazak,1
Piotr Staroszczyk,1
Pinkerton,1
Pierre Tardy,1
Grey Baker,1
Greg Taylor,1
Elias Obeid,1
Egor,1
Ed Summers,1
Dustin Rodrigues,1
Dustin Oprea,1
Dohyeon Kim,1
Doctor-love,1
Richard Jones,1
Rich Abdill,1
Redowan Delowar,1
Raymond Penners,1
Raymond Hettinger,1
Randy Barlow,1
Francois Marier,1
Florian Mueller,1
Flavio Percoco Premoli,1
Rémy HUBSCHER,1
Ryan Pineo,1
Russell Davis,1
Rubén Abad,1
Ruben Dura Tari,1
Ruben,1
Rodrigo Silva,1
Robert Gieseke,1
Dimitris Bliablias,1
Dieter Verfaillie,1
Derek,1
David McKeone,1
David Hotham,1
David Gouldin,1
David Glick,1
David Fontenot,1
Darren Dormer,1
Darjus Loktevic,1
Daniel Roseman,1
Daniel Müller,1
Daniel Lindsley,1
Daniel Hengeveld,1
Sergey Lyapustin,1
Seppo Yli-Olli,1
Semen Zhydenko,1
Scott Burns,1
Sayan Chowdhury,1
Sasha Laundy,1
Sascha Peilicke,1
Samuel Hug,1
Saimadhav Heblikar,1
Sagar Giri,1
Dan Blanchard,1
Craig de Stigter,1
Coco Mishra,1
Christopher Peplin,1
Christopher Grebs,1
Christopher Bare,1
Christian Heimes,1
Stefan Praszalowicz,1
Stan Hu,1
Simon Sapin,1
Shrayas,1
Shouro,1
Shane McDonald,1
Shadab Zafar,1
David Cain,1
David Bonner,1
Tim Sweña,1
Thomas Lam,1
Thomas Dehghani,1
TetraEtc,1
Telofy,1
Taylor Rose,1
Tal Einat,1
TAHRI Ahmed R,1
Sævar Öfjörð Magnússon,1
Syed Saifullah,1
Suraj Barkale,1
Sumana Harihareswara,1
Stewart Polley,1
Steven Loria,1
Dan Michael O. Heggø,1
Dan Head,1
Chris Martin,1
Chris Kuehl,1
Chris Gavin,1
Chih-Hsuan Yen,1
Chen Huang,1
Chavithra,1
Charles Reid,1
Chad Whitacre,1
Tzury Bar Yochay,1
Tshepang Lekhonkhobe,1
Trey Hunner,1
Torsten Landschoff,1
Tom S,1
Tom Moertel,1
Tom Christie,1
Tim Sweña (Swast),1
Bård Aase,1
Bryan Berg,1
Bruno Renié,1
Bruno Oliveira,1
Bruno Clermont,1
Volker Schaus,1
Vincent Bernat,1
Vinayak Mehta,1
Victor Shih,1
Victor Pfautz,1
Usman Ehtesham Gul,1
Ulrich Petri,1
Udi Oron,1
Chris Withers,1
Chris Warrick,1
Chris Van Horne,1
Bernát Gábor,1
agubelu,1
Zhaoyu Luo,1
Zeusw,1
Zane Bitter,1
Zack Weinberg,1
Zachary Schafer,1
Zach Williams,1
Yifang Zhu,1
Yehuda Sadeh,1
Xuanwo,1
Xu Pan,1
XiaojueGuan,1
Wong Hoi Sing Edison,1
Carlos Vargas,1
Calle Svensson,1
Barbara Miller,1
