file,function,lineno,args,body_length,has_return,has_docstring
repos\requests\src\requests\adapters.py,SOCKSProxyManager,62,0,1,False,False
repos\requests\src\requests\adapters.py,_urllib3_request_context,76,4,11,True,False
repos\requests\src\requests\adapters.py,__init__,116,1,1,False,False
repos\requests\src\requests\adapters.py,send,119,7,2,False,True
repos\requests\src\requests\adapters.py,close,138,1,2,False,True
repos\requests\src\requests\adapters.py,__init__,178,5,8,False,False
repos\requests\src\requests\adapters.py,__getstate__,200,1,1,True,False
repos\requests\src\requests\adapters.py,__setstate__,203,2,4,False,False
repos\requests\src\requests\adapters.py,init_poolmanager,216,4,5,False,True
repos\requests\src\requests\adapters.py,proxy_manager_for,242,2,3,True,True
repos\requests\src\requests\adapters.py,cert_verify,280,5,3,False,True
repos\requests\src\requests\adapters.py,build_response,336,3,12,True,True
repos\requests\src\requests\adapters.py,build_connection_pool_key_attributes,373,4,2,True,True
repos\requests\src\requests\adapters.py,get_connection_with_tls_context,423,5,5,True,True
repos\requests\src\requests\adapters.py,get_connection,472,3,5,True,True
repos\requests\src\requests\adapters.py,close,513,1,3,False,True
repos\requests\src\requests\adapters.py,request_url,523,3,10,True,True
repos\requests\src\requests\adapters.py,add_headers,555,2,2,False,True
repos\requests\src\requests\adapters.py,proxy_headers,569,2,5,True,True
repos\requests\src\requests\adapters.py,send,590,7,9,True,True
repos\requests\src\requests\api.py,request,14,2,2,True,True
repos\requests\src\requests\api.py,get,62,2,2,True,True
repos\requests\src\requests\api.py,options,76,1,2,True,True
repos\requests\src\requests\api.py,head,88,1,3,True,True
repos\requests\src\requests\api.py,post,103,3,2,True,True
repos\requests\src\requests\api.py,put,118,2,2,True,True
repos\requests\src\requests\api.py,patch,133,2,2,True,True
repos\requests\src\requests\api.py,delete,148,1,2,True,True
repos\requests\src\requests\auth.py,_basic_auth_str,25,2,7,True,True
repos\requests\src\requests\auth.py,__call__,72,2,1,False,False
repos\requests\src\requests\auth.py,__init__,79,3,2,False,False
repos\requests\src\requests\auth.py,__eq__,83,2,1,True,False
repos\requests\src\requests\auth.py,__ne__,91,2,1,True,False
repos\requests\src\requests\auth.py,__call__,94,2,2,True,False
repos\requests\src\requests\auth.py,__call__,102,2,2,True,False
repos\requests\src\requests\auth.py,__init__,110,3,3,False,False
repos\requests\src\requests\auth.py,init_per_thread_state,116,1,1,False,False
repos\requests\src\requests\auth.py,build_digest_header,126,3,35,True,True
repos\requests\src\requests\auth.py,md5_utf8,145,1,2,True,False
repos\requests\src\requests\auth.py,sha_utf8,153,1,2,True,False
repos\requests\src\requests\auth.py,sha256_utf8,161,1,2,True,False
repos\requests\src\requests\auth.py,sha512_utf8,169,1,2,True,False
repos\requests\src\requests\auth.py,handle_redirect,236,2,2,False,True
repos\requests\src\requests\auth.py,handle_401,241,2,7,True,True
repos\requests\src\requests\auth.py,__call__,285,2,7,True,False
repos\requests\src\requests\auth.py,__eq__,305,2,1,True,False
repos\requests\src\requests\auth.py,__ne__,313,2,1,True,False
repos\requests\src\requests\compat.py,_resolve_char_detection,30,0,4,True,True
repos\requests\src\requests\cookies.py,__init__,35,2,3,False,False
repos\requests\src\requests\cookies.py,get_type,40,1,1,True,False
repos\requests\src\requests\cookies.py,get_host,43,1,1,True,False
repos\requests\src\requests\cookies.py,get_origin_req_host,46,1,1,True,False
repos\requests\src\requests\cookies.py,get_full_url,49,1,4,True,False
repos\requests\src\requests\cookies.py,is_unverifiable,69,1,1,True,False
repos\requests\src\requests\cookies.py,has_header,72,2,1,True,False
repos\requests\src\requests\cookies.py,get_header,75,3,1,True,False
repos\requests\src\requests\cookies.py,add_header,78,3,2,False,True
repos\requests\src\requests\cookies.py,add_unredirected_header,84,3,1,False,False
repos\requests\src\requests\cookies.py,get_new_headers,87,1,1,True,False
repos\requests\src\requests\cookies.py,unverifiable,91,1,1,True,False
repos\requests\src\requests\cookies.py,origin_req_host,95,1,1,True,False
repos\requests\src\requests\cookies.py,host,99,1,1,True,False
repos\requests\src\requests\cookies.py,__init__,110,2,2,False,True
repos\requests\src\requests\cookies.py,info,117,1,1,True,False
repos\requests\src\requests\cookies.py,getheaders,120,2,1,False,False
repos\requests\src\requests\cookies.py,extract_cookies_to_jar,124,3,5,True,True
repos\requests\src\requests\cookies.py,get_cookie_header,140,2,4,True,True
repos\requests\src\requests\cookies.py,remove_cookie_by_name,151,4,4,False,True
repos\requests\src\requests\cookies.py,get,194,5,2,True,True
repos\requests\src\requests\cookies.py,set,206,3,5,True,True
repos\requests\src\requests\cookies.py,iterkeys,225,1,2,False,True
repos\requests\src\requests\cookies.py,keys,234,1,2,True,True
repos\requests\src\requests\cookies.py,itervalues,242,1,2,False,True
repos\requests\src\requests\cookies.py,values,251,1,2,True,True
repos\requests\src\requests\cookies.py,iteritems,259,1,2,False,True
repos\requests\src\requests\cookies.py,items,268,1,2,True,True
